classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.764,0,364,0.18338520978773482,0.53,0.45,0.43333333333333335,0.4225,0.444
0.766,5,257,0.1800280282748936,0.53,0.45,0.43333333333333335,0.4225,0.444
0.77,7,121,0.17094458471495705,0.53,0.45,0.43333333333333335,0.4225,0.444
0.774,12,143,0.1695782662154692,0.53,0.45,0.43666666666666665,0.425,0.446
0.774,19,160,0.16621629464817494,0.53,0.45,0.43666666666666665,0.425,0.446
0.774,13,354,0.1689392430271635,0.53,0.45,0.43666666666666665,0.425,0.446
0.774,18,258,0.1810847810090341,0.53,0.45,0.43666666666666665,0.425,0.446
0.776,9,358,0.17291509585459836,0.53,0.455,0.44,0.4275,0.448
0.778,3,144,0.16881755736078183,0.53,0.455,0.44,0.43,0.45
0.778,3,365,0.18710227149136752,0.53,0.455,0.43666666666666665,0.4275,0.448
0.78,10,65,0.16620926867458083,0.53,0.455,0.43666666666666665,0.4275,0.446
0.78,19,97,0.16677818214496115,0.53,0.46,0.44,0.43,0.448
0.782,13,171,0.17053671511311166,0.53,0.46,0.44,0.43,0.448
0.782,0,161,0.16508086606780467,0.53,0.46,0.44,0.4275,0.446
0.78,17,371,0.2604846668402613,0.53,0.46,0.44,0.4275,0.446
0.784,7,87,0.16389643117626734,0.53,0.46,0.44,0.4275,0.446
0.79,17,86,0.15945510429304,0.53,0.46,0.44,0.4275,0.446
0.79,14,359,0.16160823383345174,0.53,0.46,0.44333333333333336,0.43,0.45
0.792,19,357,0.17747736550777052,0.53,0.46,0.44333333333333336,0.43,0.45
0.794,11,48,0.16197528805763564,0.53,0.46,0.44333333333333336,0.43,0.45
0.794,5,88,0.1638427170297102,0.53,0.46,0.44333333333333336,0.43,0.45
0.794,8,137,0.16073885407597432,0.53,0.46,0.44333333333333336,0.43,0.45
0.798,13,36,0.15947546956750427,0.53,0.46,0.44333333333333336,0.43,0.452
0.798,9,458,0.16122573063801202,0.53,0.46,0.44333333333333336,0.43,0.45
0.8,11,12,0.15936981390161273,0.54,0.465,0.44666666666666666,0.4325,0.45
0.804,1,138,0.16074782373569105,0.54,0.465,0.44666666666666666,0.4325,0.448
0.806,7,139,0.16078202698232308,0.53,0.46,0.44333333333333336,0.43,0.446
0.806,15,356,0.16906466819440705,0.53,0.46,0.44333333333333336,0.43,0.446
0.808,15,208,0.16683168662465675,0.53,0.46,0.44333333333333336,0.43,0.446
0.808,11,89,0.1591965003836454,0.53,0.46,0.44333333333333336,0.43,0.446
0.808,6,259,0.18292744875072534,0.54,0.465,0.44666666666666666,0.4375,0.452
0.808,11,166,0.1592249917279176,0.54,0.47,0.45,0.44,0.454
0.808,4,15,0.1564042067773884,0.54,0.47,0.45,0.44,0.454
0.806,10,207,0.16490199733383284,0.54,0.47,0.4533333333333333,0.4425,0.458
0.808,13,142,0.16659494763488725,0.54,0.47,0.4533333333333333,0.44,0.456
0.808,3,355,0.15653457493179027,0.55,0.475,0.45666666666666667,0.4425,0.458
