classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.778,15,449,0.15822341301488027,0.62,0.54,0.5233333333333333,0.4875,0.51
0.778,16,403,0.1540437959939208,0.62,0.545,0.5266666666666666,0.49,0.512
0.776,3,38,0.15090026047462665,0.62,0.545,0.53,0.4925,0.514
0.778,9,326,0.22130915843828766,0.62,0.545,0.53,0.49,0.512
0.78,7,39,0.15513364462514578,0.62,0.55,0.5333333333333333,0.4925,0.514
0.782,6,54,0.15508449825019496,0.62,0.555,0.5366666666666666,0.495,0.516
0.784,0,57,0.15325286012964476,0.62,0.555,0.5366666666666666,0.4975,0.52
0.786,5,111,0.15258237749350578,0.63,0.56,0.54,0.5,0.522
0.786,0,187,0.1510942337998663,0.63,0.555,0.5333333333333333,0.495,0.518
0.784,13,324,0.21720044271468014,0.63,0.555,0.5333333333333333,0.495,0.516
0.786,7,53,0.15296787206836468,0.63,0.555,0.5333333333333333,0.495,0.516
0.788,11,281,0.15314586560021623,0.63,0.555,0.5333333333333333,0.495,0.516
0.788,4,280,0.15273399366867252,0.63,0.555,0.5366666666666666,0.495,0.516
0.79,13,106,0.15407100087606795,0.63,0.555,0.5366666666666666,0.495,0.516
0.792,2,40,0.17273519624901895,0.64,0.56,0.54,0.4975,0.518
0.796,14,107,0.15815069403931148,0.64,0.56,0.54,0.5,0.52
0.796,6,112,0.15306513959879453,0.64,0.56,0.54,0.5,0.52
0.8,10,445,0.15948893765260042,0.64,0.56,0.54,0.5,0.52
0.804,9,127,0.15236008980985066,0.64,0.56,0.54,0.5025,0.522
0.804,5,128,0.1524470044931175,0.64,0.56,0.54,0.5025,0.522
0.804,3,189,0.152452795161729,0.66,0.575,0.55,0.51,0.528
0.802,1,190,0.15261895470832024,0.66,0.575,0.55,0.51,0.526
0.802,3,108,0.1701392035092593,0.66,0.575,0.55,0.51,0.526
0.806,4,191,0.1529168214751578,0.66,0.575,0.5533333333333333,0.5125,0.528
0.81,0,63,0.1518670776729199,0.66,0.575,0.5533333333333333,0.5125,0.528
0.816,17,120,0.15305696407023378,0.66,0.575,0.5566666666666666,0.515,0.53
0.818,0,376,0.1918472300835641,0.66,0.575,0.5566666666666666,0.515,0.532
0.818,12,177,0.158413069012602,0.68,0.59,0.5666666666666667,0.5225,0.536
0.82,2,109,0.17573015519032625,0.69,0.595,0.57,0.525,0.538
0.818,1,463,0.1532998865746575,0.69,0.6,0.5733333333333334,0.5275,0.54
0.824,2,64,0.1523873874356505,0.69,0.605,0.5766666666666667,0.5325,0.544
0.824,16,62,0.15255457722034915,0.69,0.605,0.5766666666666667,0.5325,0.544
0.824,8,456,0.15157850456064698,0.69,0.605,0.5766666666666667,0.5325,0.544
0.826,1,173,0.1530833475739742,0.69,0.605,0.5766666666666667,0.5325,0.546
0.826,2,118,0.17854210197386858,0.69,0.605,0.5766666666666667,0.5325,0.546
0.826,7,342,0.1520267134287443,0.69,0.605,0.5766666666666667,0.5325,0.548
